region_id,region,region_alias,province_id,province,city_id,city,barangay_id,barangay,population,province_cleaned,full_match_successful
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1296,CARMEN,34279,ROJALES,2083,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34274,MAHABA,1250,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1296,CARMEN,34275,CAHAYAGAN,2380,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1296,CARMEN,34276,GOSOON,1772,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1296,CARMEN,34277,MANOLIGAO,1513,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1296,CARMEN,34278,POBLACION (CARMEN),5507,AGUSAN DEL NORTE,0
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34273,TOLOSA,5817,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1296,CARMEN,34280,SAN AGUSTIN,1117,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34272,SORIANO,1719,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34262,POBLACION 2,582,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34270,PUTING BATO,2297,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34269,POBLACION 9,3578,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34268,POBLACION 8,557,AGUSAN DEL NORTE,1
