region,province,city,barangay
LUZON,PALAWAN,ABORLAN,APO-APORAWAN
LUZON,PALAWAN,ABORLAN,APOC-APOC
LUZON,PALAWAN,ABORLAN,APORAWAN
LUZON,PALAWAN,ABORLAN,BARAKE
LUZON,PALAWAN,ABORLAN,CABIGAAN
LUZON,PALAWAN,ABORLAN,CULANDANUM
LUZON,PALAWAN,ABORLAN,GOGOGNAN
LUZON,PALAWAN,ABORLAN,IRAAN
LUZON,PALAWAN,ABORLAN,ISAUB
LUZON,PALAWAN,ABORLAN,JOSE RIZAL
LUZON,PALAWAN,ABORLAN,MABINI
LUZON,PALAWAN,ABORLAN,MAGBABADIL
LUZON,PALAWAN,ABORLAN,PLARIDEL
LUZON,PALAWAN,ABORLAN,POBLACION
LUZON,PALAWAN,ABORLAN,RAMON MAGSAYSAY
LUZON,PALAWAN,ABORLAN,SAGPANGAN
LUZON,PALAWAN,ABORLAN,SAN JUAN
LUZON,PALAWAN,ABORLAN,TAGPAIT
LUZON,PALAWAN,ABORLAN,TIGMAN
LUZON,PALAWAN,AGUTAYA,ABAGAT
LUZON,PALAWAN,AGUTAYA,ALGECIRAS
LUZON,PALAWAN,AGUTAYA,BANGCAL
LUZON,PALAWAN,AGUTAYA,CAMBIAN
LUZON,PALAWAN,AGUTAYA,CONCEPCION
LUZON,PALAWAN,AGUTAYA,DIIT
LUZON,PALAWAN,AGUTAYA,MARACANAO
LUZON,PALAWAN,AGUTAYA,MATARAWIS
LUZON,PALAWAN,AGUTAYA,VILLAFRIA
LUZON,PALAWAN,AGUTAYA,VILLASOL
LUZON,PALAWAN,ARACELI,BALOGO
LUZON,PALAWAN,ARACELI,DAGMAN
LUZON,PALAWAN,ARACELI,DALAYAWON
LUZON,PALAWAN,ARACELI,LUMACAD
LUZON,PALAWAN,ARACELI,MADOLDOLON
LUZON,PALAWAN,ARACELI,MAURINGUEN
LUZON,PALAWAN,ARACELI,OSMEÑA
LUZON,PALAWAN,ARACELI,POBLACION
LUZON,PALAWAN,ARACELI,SAN JOSE DE ORO
LUZON,PALAWAN,ARACELI,SANTO NIÑO
LUZON,PALAWAN,ARACELI,TALOTO
LUZON,PALAWAN,ARACELI,TININTINAN
LUZON,PALAWAN,ARACELI,TUDELA
LUZON,PALAWAN,BALABAC,AGUTAYAN
LUZON,PALAWAN,BALABAC,BANCALAAN
LUZON,PALAWAN,BALABAC,BUGSUK
LUZON,PALAWAN,BALABAC,CATAGUPAN
LUZON,PALAWAN,BALABAC,INDALAWAN
LUZON,PALAWAN,BALABAC,MALAKING ILOG
LUZON,PALAWAN,BALABAC,MANGSEE
LUZON,PALAWAN,BALABAC,MELVILLE
LUZON,PALAWAN,BALABAC,PANDANAN
LUZON,PALAWAN,BALABAC,PASIG
LUZON,PALAWAN,BALABAC,POBLACION I
LUZON,PALAWAN,BALABAC,POBLACION II
LUZON,PALAWAN,BALABAC,POBLACION III
LUZON,PALAWAN,BALABAC,POBLACION IV
LUZON,PALAWAN,BALABAC,POBLACION V
LUZON,PALAWAN,BALABAC,POBLACION VI
LUZON,PALAWAN,BALABAC,RABOR
LUZON,PALAWAN,BALABAC,RAMOS
LUZON,PALAWAN,BALABAC,SALANG
LUZON,PALAWAN,BALABAC,SEBARING
LUZON,PALAWAN,BATARAZA,BONO-BONO
LUZON,PALAWAN,BATARAZA,BULALACAO
LUZON,PALAWAN,BATARAZA,BULILUYAN
LUZON,PALAWAN,BATARAZA,CULANDANUM
LUZON,PALAWAN,BATARAZA,IGANG-IGANG
LUZON,PALAWAN,BATARAZA,INOGBONG
LUZON,PALAWAN,BATARAZA,IWAHIG
LUZON,PALAWAN,BATARAZA,MALIHUD
LUZON,PALAWAN,BATARAZA,MALITUB
LUZON,PALAWAN,BATARAZA,MARANGAS
LUZON,PALAWAN,BATARAZA,OCAYAN
LUZON,PALAWAN,BATARAZA,PURING
LUZON,PALAWAN,BATARAZA,RIO TUBA
LUZON,PALAWAN,BATARAZA,SANDOVAL
LUZON,PALAWAN,BATARAZA,SAPA
LUZON,PALAWAN,BATARAZA,SARONG
LUZON,PALAWAN,BATARAZA,SUMBILING
LUZON,PALAWAN,BATARAZA,TABUD
LUZON,PALAWAN,BATARAZA,TAGNATO
LUZON,PALAWAN,BATARAZA,TAGOLANGO
LUZON,PALAWAN,BATARAZA,TARATAK
LUZON,PALAWAN,BATARAZA,TARUSAN
LUZON,PALAWAN,BROOKE'S POINT,AMAS
LUZON,PALAWAN,BROOKE'S POINT,ARIBUNGOS
LUZON,PALAWAN,BROOKE'S POINT,BARONG-BARONG
LUZON,PALAWAN,BROOKE'S POINT,CALASAGUEN
LUZON,PALAWAN,BROOKE'S POINT,IMULNOD
LUZON,PALAWAN,BROOKE'S POINT,IPILAN
LUZON,PALAWAN,BROOKE'S POINT,MAASIN
LUZON,PALAWAN,BROOKE'S POINT,MAINIT
LUZON,PALAWAN,BROOKE'S POINT,MALIS
LUZON,PALAWAN,BROOKE'S POINT,MAMBALOT
LUZON,PALAWAN,BROOKE'S POINT,ORING-ORING
LUZON,PALAWAN,BROOKE'S POINT,PANGOBILIAN
LUZON,PALAWAN,BROOKE'S POINT,POBLACION I
