Province,Remove
Abra,TRUE
Agusan del Norte,
Agusan del Sur,
Aklan,
Albay,
Antique,
Apayao,TRUE
Aurora,TRUE
Basilan,
Bataan,TRUE
Batanes,TRUE
Batangas,TRUE
Benguet,TRUE
Biliran,
Bohol,
Bukidnon,
Bulacan,TRUE
Cagayan,TRUE
Camarines Norte,TRUE
Camarines Sur,TRUE
Camiguin,
Capiz,
Catanduanes,
Cavite,TRUE
Cebu,
Compostela Valley,
Davao del Norte,
Davao del Sur,
Davao Oriental,
Dinagat Islands,
Eastern Samar,
Guimaras,
Ifugao,TRUE
Ilocos Norte,TRUE
Ilocos Sur,TRUE
Iloilo,
Isabela,TRUE
Kalinga,TRUE
La Union,TRUE
Laguna,TRUE
Lanao del Norte,TRUE
Lanao del Sur,TRUE
Leyte,
Maguindanao,
Marinduque,
Masbate,
Metropolitan Manila,TRUE
Misamis Occidental,
Misamis Oriental,
Mountain Province,TRUE
Negros Occidental,
Negros Oriental,
North Cotabato,
Northern Samar,
Nueva Ecija,TRUE
Nueva Vizcaya,TRUE
Occidental Mindoro,
Oriental Mindoro,
Palawan,
Pampanga,TRUE
Pangasinan,TRUE
Quezon,TRUE
Quirino,TRUE
Rizal,TRUE
Romblon,
Samar,
Sarangani,
Siquijor,
Sorsogon,
South Cotabato,
Southern Leyte,
Sultan Kudarat,
Sulu,
Surigao del Norte,
Surigao del Sur,
Tarlac,TRUE
Tawi-Tawi,
Zambales,TRUE
Zamboanga del Norte,
Zamboanga del Sur,
Zamboanga Sibugay,
